freed memory 0x9f778, size 308 (D:\prg\_git\ACE\ace\managers\copper.c:237)
freed memory 0x20df0, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:238)
freed memory 0x9f8c0, size 308 (D:\prg\_git\ACE\ace\managers\copper.c:242)
freed memory 0x20d40, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:243)
freed memory 0x96018, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:246)
freed memory 0x95108, size 12 (D:\prg\_git\ACE\ace\utils\extview.c:38)
allocated CHIP memory @0x95108, size 12 (D:\prg\_git\ACE\ace\utils\extview.c:9)
allocated CHIP memory @0x96058, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:218)
allocated CHIP memory @0x20d40, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:221)
allocated CHIP memory @0x20df0, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:222)
allocated CHIP memory @0x96b40, size 28 (D:\prg\_git\ACE\ace\utils\extview.c:103)
allocated CHIP memory @0x96bf8, size 64 (D:\prg\_git\ACE\ace\utils\extview.c:116)
allocated CHIP memory @0x96cb0, size 34 (D:\prg\_git\ACE\ace\managers\viewport\simplebuffer.c:13)
allocated CHIP memory @0x97758, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x99f68, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x9c778, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa1d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa4518, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa6d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x97780, size 30 (D:\prg\_git\ACE\ace\managers\viewport\camera.c:7)
allocated CHIP memory @0x971b8, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x977a0, size 44 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x972f0, size 14 (D:\prg\_git\ACE\ace\utils\font.c:26)
allocated CHIP memory @0x97800, size 246 (D:\prg\_git\ACE\ace\utils\font.c:33)
allocated CHIP memory @0x978f8, size 40 (D:\prg\_git\ACE\ace\utils\font.c:36)
allocated CHIP memory @0x973f8, size 24 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:13)
allocated CHIP memory @0x977d0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:14)
allocated CHIP memory @0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x979e0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97a08, size 48 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
freed memory 0x97a08, size 48 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x979e0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x977d0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:110)
allocated CHIP memory @0x977d0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:113)
allocated CHIP memory @0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
